image_id,image_path,claude_moods,gpt4o_moods,gemini_moods
gacs_advertisements_02_VGa1imAp_scene_01,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_advertisements_02_VGa1imAp_scene_01.jpg,"calm, creative, focused, serene","calm, focused, creative, serene, studious","contemplative, calm, artistic, observant, pensive"
gacs_advertisements_02_VGa1imAp_scene_10,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_advertisements_02_VGa1imAp_scene_10.jpg,"serene, surreal, tranquil, cold, nostalgic","nostalgic, whimsical, tranquil, serene, enchanting","serene, nostalgic, whimsical, cold, peaceful"
gacs_advertisements_02_YG8kLlRw_scene_00,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_advertisements_02_YG8kLlRw_scene_00.jpg,"busy, tense, focused, professional, concerned","tense, focused, collaborative, busy, professional","formal, curious, focused, frantic, agitated"
gacs_advertisements_02_YG8kLlRw_scene_09,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_advertisements_02_YG8kLlRw_scene_09.jpg,"luxurious, vibrant, confident, eccentric","playful, relaxed, colorful, contrasting, vibrant","campy, flamboyant, ostentatious, lighthearted, eccentric"
gacs_advertisements_03_9Bo2OIxp_scene_03,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_advertisements_03_9Bo2OIxp_scene_03.jpg,"distressed, sad, emotional, vulnerable, exhausted","emotional, intense, overwhelmed, dramatic, compelling","distressed, emotional, vulnerable, pained, distraught"
gacs_advertisements_03_9Bo2OIxp_scene_12,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_advertisements_03_9Bo2OIxp_scene_12.jpg,"neutral, informative, calm","serious, thoughtful, reflective, calm, introspective","serious, informative, neutral, thoughtful, direct"
gacs_advertisements_03_Uoj6rlUk_scene_08,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_advertisements_03_Uoj6rlUk_scene_08.jpg,"calm, delicate, focused, luxurious","calm, delicate, focused, gentle, meticulous","calm, delicate, elegant, refined, peaceful"
gacs_advertisements_03_peuPOPIh_scene_02,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_advertisements_03_peuPOPIh_scene_02.jpg,"dark, sleek, luxurious, sophisticated","sleek, futuristic, elegant, sophisticated, modern","sleek, modern, sophisticated, elegant, refined"
gacs_advertisements_04_YU7TcxwF_scene_01,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_advertisements_04_YU7TcxwF_scene_01.jpg,"dark, isolated, mysterious, pensive, tense","mysterious, ominous, isolated, eerie, contemplative","lonely, isolated, uncertain, eerie, detached"
gacs_advertisements_04_YU7TcxwF_scene_10,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_advertisements_04_YU7TcxwF_scene_10.jpg,"powerful, sleek, modern, dynamic, luxurious","sleek, luxurious, powerful, modern, sophisticated","sleek, powerful, modern, sophisticated, confident"
gacs_advertisements_04_dGFPi5sZ_scene_06,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_advertisements_04_dGFPi5sZ_scene_06.jpg,"adventurous, exhilarating, daring, free, dynamic","adventurous, thrilling, exhilarating, daring, intense","daring, exhilarating, risky, impressive, majestic"
gacs_advertisements_04_w7oDM_as.temp_scene_02,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_advertisements_04_w7oDM_as.temp_scene_02.jpg,"energetic, intense, focused, fast, thrilling","dynamic, thrilling, competitive, intense, fast-paced","fast, focused, competitive, intense, thrilling"
gacs_advertisements_04_w7oDM_as.temp_scene_11,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_advertisements_04_w7oDM_as.temp_scene_11.jpg,"fast, powerful, classic, thrilling, intense","sleek, nostalgic, powerful, moving, timeless","determined, urgent, focused, serious, intense"
gacs_animations_00_-HMqv0zl_scene_00,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_animations_00_-HMqv0zl_scene_00.jpg,"bright, ethereal, serene, empty, mysterious","bright, serene, open, peaceful, calm","empty, sterile, blank, pure, bright"
gacs_animations_00_WIPV1iwz_scene_07,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_animations_00_WIPV1iwz_scene_07.jpg,"cute, vulnerable, curious, solitary, peaceful","curious, cute, serene, gentle, peaceful","curious, innocent, vulnerable, peaceful, hopeful"
gacs_animations_00_WIPV1iwz_scene_16,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_animations_00_WIPV1iwz_scene_16.jpg,"peaceful, curious, gentle, hopeful","playful, cute, serene, whimsical, joyful","peaceful, serene, calm, gentle, hopeful"
gacs_animations_00_hXzcyx9V_scene_03,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_animations_00_hXzcyx9V_scene_03.jpg,"scared, mysterious, vulnerable","whimsical, curious, playful, lighthearted, colorful","lonely, curious, whimsical, surreal, uncertain"
gacs_animations_00_hXzcyx9V_scene_12,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_animations_00_hXzcyx9V_scene_12.jpg,"intense, mysterious, magical, otherworldly","ethereal, mystical, dreamy, contemplative, surreal","ethereal, magical, longing, dreamlike, surreal"
gacs_animations_00_ysqiEC6b_scene_06,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_animations_00_ysqiEC6b_scene_06.jpg,"intense, ethereal, powerful, radiant","bright, intense, energetic, dazzling, futuristic","bright, ethereal, hopeful, divine, serene"
gacs_animations_01_CWnqX41J_scene_08,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_animations_01_CWnqX41J_scene_08.jpg,"eerie, mysterious, unsettling, intense","mysterious, surreal, eerie, unsettling, intense","eerie, unsettling, watchful, strange, alien"
gacs_animations_01_O515YeHQ_scene_05,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_animations_01_O515YeHQ_scene_05.jpg,"creepy, unsettling, eerie, mysterious, somber","eerie, unsettling, dramatic, intense, theatrical","unsettling, eerie, sinister, grotesque, artificial"
gacs_animations_01_hJnAHzo4_scene_02,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_animations_01_hJnAHzo4_scene_02.jpg,"uncertain, curious, intrigued, observant","concentrated, determined, cautious, protective, guarded","determined, uneasy, thoughtful, protective, curious"
gacs_animations_01_hJnAHzo4_scene_11,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_animations_01_hJnAHzo4_scene_11.jpg,"serious, watchful, peaceful, calm, natural","calm, peaceful, curious, playful, content","calm, watchful, curious, peaceful, nature"
gacs_animations_01_taE3Pwur_scene_06,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_animations_01_taE3Pwur_scene_06.jpg,"whimsical, adventurous, peculiar, imaginative","playful, whimsical, lighthearted, cheerful, fun","whimsical, playful, eerie, adventurous, peculiar"
gacs_animations_01_xo4rkcC7.temp_scene_06,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_animations_01_xo4rkcC7.temp_scene_06.jpg,"tense, anxious, suspenseful, mysterious","anxious, surprised, worried, tense, dramatic","anxious, wary, apprehensive, alert, uneasy"
gacs_animations_01_xo4rkcC7_scene_06,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_animations_01_xo4rkcC7_scene_06.jpg,"tense, anxious, ominous, suspenseful","alert, cautious, surprised, curious, apprehensive","uneasy, worried, startled, tense, vigilant"
gacs_animations_02_1o8GWhoD_scene_06,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_animations_02_1o8GWhoD_scene_06.jpg,"worried, surprised, intense, mystical","determined, courageous, intense, dramatic, focused","concerned, apprehensive, uncertain, worried, uneasy"
gacs_animations_02_1o8GWhoD_scene_15,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_animations_02_1o8GWhoD_scene_15.jpg,"intense, menacing, aggressive, chaotic","intense, dynamic, aggressive, vibrant, fierce","aggressive, menacing, dangerous, violent, intense"
gacs_animations_02_lTxn2Buq_scene_08,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_animations_02_lTxn2Buq_scene_08.jpg,"serious, formal, authoritative, thoughtful","serious, authoritative, focused, formal, stern","intimidating, stern, serious, disapproving, formal"
gacs_animations_02_qLGNj-xr_scene_01,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_animations_02_qLGNj-xr_scene_01.jpg,"struggling, frustrated, effortful, exasperated","annoyed, frustrated, impatient, displeased, irritable","annoyed, burdened, frustrated, childish, exaggerated"
gacs_animations_02_qLGNj-xr_scene_10,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_animations_02_qLGNj-xr_scene_10.jpg,"curious, surprised, observant","curious, intense, focused, suspicious, perplexed","curious, watchful, intrigued, serious, analytical"
gacs_animations_02_qLGNj-xr_scene_19,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_animations_02_qLGNj-xr_scene_19.jpg,"calm, peaceful, dreamy, serene, light","calm, serene, bright, artistic, peaceful","calm, peaceful, serene, quiet, tranquil"
gacs_animations_02_shW9i6k8_scene_08,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_animations_02_shW9i6k8_scene_08.jpg,"energetic, vibrant, futuristic, intense","vibrant, intense, dynamic, futuristic, energetic","dynamic, intense, futuristic, energetic, vibrant"
gacs_animations_02_wuGj4Xgb_scene_07,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_animations_02_wuGj4Xgb_scene_07.jpg,"thoughtful, calm, reflective, professional","calm, reflective, thoughtful, serene, pensive","calm, thoughtful, serious, professional, composed"
gacs_animations_03_NWQH8cMp_scene_03,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_animations_03_NWQH8cMp_scene_03.jpg,"dark, ominous, mysterious, tense","tense, mysterious, dark, suspenseful, ominous","isolated, stark, ominous, claustrophobic, unsettling"
gacs_animations_03_VWavstJy_scene_01,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_animations_03_VWavstJy_scene_01.jpg,"concerned, pensive, thoughtful, anticipatory, uncertain","colorful, curious, thoughtful, whimsical, contemplative","concerned, anxious, hopeful, curious, cautious"
gacs_animations_03_f_fuHRyQ_scene_00,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_animations_03_f_fuHRyQ_scene_00.jpg,"tense, energetic, perilous, chaotic, vibrant","energetic, adventurous, dynamic, colorful, lively","action, frantic, intense, dangerous, urgent"
gacs_animations_03_f_fuHRyQ_scene_09,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_animations_03_f_fuHRyQ_scene_09.jpg,"mysterious, quirky, cool, tense, vibrant","playful, colorful, vibrant, energetic, fun","playful, quirky, mysterious, cool, stylized"
gacs_emotional_shorts_00_44buVmzh_scene_00,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_emotional_shorts_00_44buVmzh_scene_00.jpg,"lively, engaging, professional","happy, relaxed, friendly, enthusiastic, engaging","cheerful, friendly, positive, engaging, enthusiastic"
gacs_emotional_shorts_00_78hzXX60_scene_07,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_emotional_shorts_00_78hzXX60_scene_07.jpg,"neutral, calm, informative, formal, serious","serene, calm, neutral, straightforward, composed","calm, neutral, informative, serious, factual"
gacs_emotional_shorts_00_WAmw-erI_scene_105,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_emotional_shorts_00_WAmw-erI_scene_105.jpg,"calm, pensive, intimate, gentle, serene","content, relaxed, peaceful, calm, serene","peaceful, content, relaxed, serene, calm"
gacs_emotional_shorts_00_WAmw-erI_scene_125,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_emotional_shorts_00_WAmw-erI_scene_125.jpg,"loving, romantic, affectionate, peaceful, warm","happy, affectionate, warm, content, peaceful","affectionate, content, peaceful, serene, loving"
gacs_emotional_shorts_00_WAmw-erI_scene_15,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_emotional_shorts_00_WAmw-erI_scene_15.jpg,"tense, serious, concerned, displeased","frustrated, concerned, tense, emotional, expressive","frustrated, annoyed, tense, uneasy, concerned"
gacs_emotional_shorts_00_WAmw-erI_scene_37,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_emotional_shorts_00_WAmw-erI_scene_37.jpg,"spacious, bright, peaceful, affluent","calm, serene, peaceful, inviting, bright","peaceful, calm, serene, luxurious, airy"
gacs_emotional_shorts_00_WAmw-erI_scene_59,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_emotional_shorts_00_WAmw-erI_scene_59.jpg,"distressed, emotional, somber, concerned","tense, concerned, urgent, distressing, intense","concerned, anxious, worried, supportive, uneasy"
gacs_emotional_shorts_00_WAmw-erI_scene_81,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_emotional_shorts_00_WAmw-erI_scene_81.jpg,"pensive, thoughtful, intimate, calm","calm, reflective, contemplative, thoughtful, serene","thoughtful, pensive, concerned, introspective, serious"
gacs_emotional_shorts_00_qm5hen3q_scene_06,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_emotional_shorts_00_qm5hen3q_scene_06.jpg,"professional, serious, informative, factual, calm","formal, serious, respectful, attentive, calm","serious, grateful, calm, relieved, somber"
gacs_emotional_shorts_01_LIed92r8_scene_15,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_emotional_shorts_01_LIed92r8_scene_15.jpg,"warm, candid, observant, subtle","content, warm, cheerful, heartfelt, optimistic","content, thoughtful, genuine, hopeful, warm"
gacs_emotional_shorts_01_eSNLnjeu_scene_01,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_emotional_shorts_01_eSNLnjeu_scene_01.jpg,"calm, natural, mundane, casual","calm, relaxed, casual, peaceful, serene","calm, ordinary, domestic, peaceful, casual"
gacs_emotional_shorts_01_n5U8Z7VY_scene_03,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_emotional_shorts_01_n5U8Z7VY_scene_03.jpg,"sweet, joyful, heartwarming, tender, familial","warm, familial, joyful, sentimental, loving","warm, heartwarming, joyous, happy, blessed"
gacs_emotional_shorts_02_DZQtVmKM_scene_101,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_emotional_shorts_02_DZQtVmKM_scene_101.jpg,"affectionate, heartwarming, tender, emotional","heartwarming, loving, comforting, tender, joyful","heartwarming, tender, loving, protective, grateful"
gacs_emotional_shorts_02_DZQtVmKM_scene_121,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_emotional_shorts_02_DZQtVmKM_scene_121.jpg,"engaged, conversational, friendly, bright, casual","happy, relaxed, engaging, comfortable, cheerful","friendly, welcoming, informative, pleasant, warm"
gacs_emotional_shorts_02_DZQtVmKM_scene_141,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_emotional_shorts_02_DZQtVmKM_scene_141.jpg,"energetic, chaotic, blurry, lively","energetic, joyful, excited, vibrant, lively","excited, energetic, chaotic, blurry, social"
gacs_emotional_shorts_02_DZQtVmKM_scene_161,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_emotional_shorts_02_DZQtVmKM_scene_161.jpg,"curious, cautious, peaceful, urban","curious, playful, cute, bright, calm","curious, whimsical, humorous, unexpected, urban"
gacs_emotional_shorts_02_DZQtVmKM_scene_181,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_emotional_shorts_02_DZQtVmKM_scene_181.jpg,"relaxed, social, celebratory, intimate","warm, intimate, celebratory, casual, relaxed","festive, convivial, warm, celebratory, social"
gacs_emotional_shorts_02_DZQtVmKM_scene_201,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_emotional_shorts_02_DZQtVmKM_scene_201.jpg,"joyful, playful, messy, candid, celebratory","celebratory, joyful, playful, lively, festive","surprised, festive, chaotic, playful, lighthearted"
gacs_emotional_shorts_02_DZQtVmKM_scene_25,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_emotional_shorts_02_DZQtVmKM_scene_25.jpg,"peaceful, helpful, ordinary, sunny","helpful, caring, peaceful, sunny, relaxed","normal, ordinary, calm, routine, sunny"
gacs_emotional_shorts_02_DZQtVmKM_scene_47,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_emotional_shorts_02_DZQtVmKM_scene_47.jpg,"energetic, joyful, expressive, lively, enthusiastic","energetic, joyful, expressive, lively, cheerful","energetic, enthusiastic, joyful, lively, animated"
gacs_emotional_shorts_02_DZQtVmKM_scene_69,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_emotional_shorts_02_DZQtVmKM_scene_69.jpg,"clinical, curious, caring, calm","comforting, curious, supportive, playful, lighthearted","concerned, curious, clinical, uneasy, awkward"
gacs_emotional_shorts_02_DZQtVmKM_scene_91,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_emotional_shorts_02_DZQtVmKM_scene_91.jpg,"celebratory, joyful, warm, sentimental","joyful, celebratory, nostalgic, warm, festive","joyful, celebratory, nostalgic, heartwarming, proud"
gacs_emotional_shorts_02_VSj0URO1_scene_03,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_emotional_shorts_02_VSj0URO1_scene_03.jpg,"curious, innocent, attentive, hopeful","curious, surprised, joyful, engaging, attentive","curious, interested, engaged, hopeful, bright"
gacs_emotional_shorts_03_KnEBs_-j_scene_06,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_emotional_shorts_03_KnEBs_-j_scene_06.jpg,"relieved, caring, tender, affectionate","relieved, comforting, grateful, joyful, tender","relieved, anxious, protective, grateful, concerned"
gacs_emotional_shorts_03_lEDHRh8g_scene_02,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_emotional_shorts_03_lEDHRh8g_scene_02.jpg,"somber, laborious, gritty, unsettling","tense, urgent, compassionate, hopeful, intense","curious, investigative, focused, expectant, hopeful"
gacs_movie_trailers_00_UDfjsSqC_scene_00,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_movie_trailers_00_UDfjsSqC_scene_00.jpg,"destructive, chaotic, intense, overwhelming","chaotic, destructive, intense, fiery, explosive","chaotic, catastrophic, destructive, intense, dramatic"
gacs_movie_trailers_00_Way9Dexn_scene_05,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_movie_trailers_00_Way9Dexn_scene_05.jpg,"intense, dangerous, gritty, urgent","intense, action-packed, gripping, dynamic, dramatic","action, intense, gritty, dangerous, desperate"
gacs_movie_trailers_00_Way9Dexn_scene_13,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_movie_trailers_00_Way9Dexn_scene_13.jpg,"concerned, intimate, somber, vulnerable, quiet","intimate, tender, calm, connected, peaceful","intimate, melancholic, concerned, serious, subdued"
gacs_movie_trailers_00_mqqft2x__scene_02,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_movie_trailers_00_mqqft2x__scene_02.jpg,"intense, dangerous, fiery, mysterious, dramatic","intense, dramatic, urgent, intimidating, chaotic","intense, dramatic, fiery, aggressive, ominous"
gacs_movie_trailers_00_vt98AlBD_scene_07,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_movie_trailers_00_vt98AlBD_scene_07.jpg,"chaotic, intense, energetic, dramatic","chaotic, energetic, vibrant, lively, festive","chaotic, urgent, frantic, disturbed, disoriented"
gacs_movie_trailers_01_9ix7TUGV_scene_07,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_movie_trailers_01_9ix7TUGV_scene_07.jpg,"intense, dramatic, mysterious, powerful","dramatic, intense, explosive, vibrant, energetic","intense, dramatic, chaotic, unsettling, ominous"
gacs_movie_trailers_01_JfVOs4VS_scene_04,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_movie_trailers_01_JfVOs4VS_scene_04.jpg,"ominous, enigmatic, scheming, confident","confident, mysterious, intense, challenging, assertive","sinister, confident, calculating, ominous, determined"
gacs_movie_trailers_01_OzY2r2JX_scene_01,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_movie_trailers_01_OzY2r2JX_scene_01.jpg,"dark, tense, mysterious, foreboding","tense, mysterious, dark, suspenseful, eerie","ominous, unsettling, dark, claustrophobic, foreboding"
gacs_movie_trailers_01_fsQgc9pC_scene_07,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_movie_trailers_01_fsQgc9pC_scene_07.jpg,"overwhelming, destructive, chaotic, terrifying, powerful","intense, dramatic, turbulent, ominous, chaotic","ominous, destructive, chaotic, overwhelming, fearful"
gacs_movie_trailers_01_n9xhJrPX_scene_04,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_movie_trailers_01_n9xhJrPX_scene_04.jpg,"dark, tense, chaotic, urgent, ominous","chaotic, intense, dramatic, unsettling, urgent","urgent, chaotic, unsettling, obscured, anxious"
gacs_movie_trailers_02_32RAq6Jz_scene_03,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_movie_trailers_02_32RAq6Jz_scene_03.jpg,"intense, determined, focused","focused, intense, determined, serious, concentrated","determined, focused, intense, anxious, urgent"
gacs_movie_trailers_02_EOwTdTZA_scene_02,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_movie_trailers_02_EOwTdTZA_scene_02.jpg,"uplifting, grand, hopeful, dramatic, majestic","majestic, grand, inspiring, classic, iconic","grand, hopeful, majestic, nostalgic, classic"
gacs_movie_trailers_02_aWzlQ2N6_scene_00,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_movie_trailers_02_aWzlQ2N6_scene_00.jpg,"dark, mysterious, tense, magical, ominous","mysterious, dark, mystical, intense, cinematic","ominous, powerful, foreboding, intense, mystical"
gacs_movie_trailers_02_nb_fFj_0_scene_01,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_movie_trailers_02_nb_fFj_0_scene_01.jpg,"deep, serene, mysterious, tranquil","mysterious, adventurous, serene, majestic, intriguing","dark, eerie, mysterious, isolated, submerged"
gacs_movie_trailers_02_uYPbbksJ_scene_00,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_movie_trailers_02_uYPbbksJ_scene_00.jpg,"mysterious, tense, somber, dramatic","intense, crowded, historical, dramatic, focused","intense, dramatic, serious, historical, intrusive"
gacs_movie_trailers_02_uYPbbksJ_scene_08,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_movie_trailers_02_uYPbbksJ_scene_08.jpg,"formal, serious, grand, dramatic, somber","serious, formal, historical, determined, focused","formal, serious, reserved, subdued, historical"
gacs_movie_trailers_02_wxN1T1ux_scene_00,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_movie_trailers_02_wxN1T1ux_scene_00.jpg,"contemplative, weary, concerned, mundane","reflective, contemplative, hopeful, serene, introspective","contemplative, worried, concerned, serious, thoughtful"
gacs_movie_trailers_02_wxN1T1ux_scene_08,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_movie_trailers_02_wxN1T1ux_scene_08.jpg,"terrified, desperate, anxious, violent","fearful, anxious, intense, shocked, uneasy","fear, shock, distress, anxiety, panic"
gacs_movie_trailers_03_GY4BgdUS_scene_04,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_movie_trailers_03_GY4BgdUS_scene_04.jpg,"tense, chaotic, crowded, oppressive, confrontational","tense, oppressive, confrontational, intense, dramatic","tense, chaotic, confrontational, oppressive, expectant"
gacs_movie_trailers_03_GY4BgdUS_scene_12,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_movie_trailers_03_GY4BgdUS_scene_12.jpg,"tense, chaotic, dramatic, urgent, historical","intense, dramatic, chaotic, historical, urgent","urgent, chaotic, fearful, desperate, tense"
gacs_movie_trailers_03_Go8nTmfr_scene_06,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_movie_trailers_03_Go8nTmfr_scene_06.jpg,"dramatic, tense, action-packed, dynamic","dynamic, intense, action-packed, thrilling, energetic","dynamic, intense, action-packed, chaotic, powerful"
